scope,domain,outcome,perturbation,flip_rate_A_to_R,flip_rate_A_to_R_ci_low,flip_rate_A_to_R_ci_high,topk_instability,topk_instability_ci_low,topk_instability_ci_high,N,K
overall,ALL,AR,group_BF_to_WM,0.15,0.07245940282870614,0.24675324675324675,0.0026562500000000024,0.0015625000000000014,0.0039062500000000035,80.0,20.0
overall,ALL,AR,institution_HI_to_LI,0.28125,0.08823529411764706,0.5517241379310345,0.0046875,0.0015625,0.00859375,80.0,8.0
overall,ALL,AR,institution_HI_to_LI,0.2777777777777778,0.09523809523809523,0.5172733077905487,0.004166666666666668,0.0013888888888888896,0.007638888888888892,80.0,9.0
overall,ALL,AR,institution_HI_to_LI,0.275,0.10526315789473684,0.5143073593073589,0.003749999999999999,0.0015624999999999997,0.006562499999999999,80.0,10.0
overall,ALL,AR,institution_HI_to_LI,0.29545454545454547,0.12,0.5135135135135135,0.004545454545454547,0.0019886363636363643,0.007670454545454548,80.0,11.0
overall,ALL,AR,institution_HI_to_LI,0.2708333333333333,0.11764705882352941,0.4637810559006209,0.003906250000000002,0.0015625000000000007,0.0065104166666666696,80.0,12.0
overall,ALL,AR,institution_HI_to_LI,0.17307692307692307,0.06120902906617193,0.3235294117647059,0.0028846153846153826,0.0012019230769230761,0.0048076923076923045,80.0,13.0
overall,ALL,AR,institution_HI_to_LI,0.14285714285714285,0.05331578947368422,0.27420145477545843,0.0026785714285714273,0.001116071428571428,0.004687499999999998,80.0,14.0
overall,ALL,AR,institution_HI_to_LI,0.15,0.059992537313432834,0.2857142857142857,0.0027083333333333326,0.0012499999999999998,0.0045833333333333325,80.0,15.0
overall,ALL,AR,institution_HI_to_LI,0.171875,0.08064516129032258,0.29545454545454547,0.003125,0.0013671875,0.005083007812499929,80.0,16.0
overall,ALL,AR,institution_HI_to_LI,0.19117647058823528,0.09876108502869066,0.32,0.00349264705882353,0.0018382352941176475,0.0053308823529411775,80.0,17.0
overall,ALL,AR,institution_HI_to_LI,0.16666666666666666,0.0759493670886076,0.2972972972972973,0.0031250000000000015,0.0013888888888888896,0.005208333333333336,80.0,18.0
overall,ALL,AR,institution_HI_to_LI,0.15789473684210525,0.07692307692307693,0.2727272727272727,0.0031250000000000028,0.0016447368421052648,0.004934210526315794,80.0,19.0
overall,ALL,AR,institution_HI_to_LI,0.1625,0.08108108108108109,0.2702702702702703,0.003281250000000003,0.0017187500000000015,0.005156250000000005,80.0,20.0
